genres,movie_id,budget,title,popularity,release_date,revenue,ROI,Director
Horror,9913,43000000,The Skeleton Key,10.947957,7/29/2005,91974818.0,113.89492558139536,Iain Softley
Mystery,9913,43000000,The Skeleton Key,10.947957,7/29/2005,91974818.0,113.89492558139536,Iain Softley
Thriller,9913,43000000,The Skeleton Key,10.947957,7/29/2005,91974818.0,113.89492558139536,Iain Softley
Action,8292,45000000,Four Brothers,6.84109,8/11/2005,92374674.0,105.27705333333333,John Singleton
Crime,8292,45000000,Four Brothers,6.84109,8/11/2005,92374674.0,105.27705333333333,John Singleton
Action,13922,80000000,The Great Raid,14.987902,8/12/2005,10166502.0,-87.2918725,John Dahl
History,13922,80000000,The Great Raid,14.987902,8/12/2005,10166502.0,-87.2918725,John Dahl
War,13922,80000000,The Great Raid,14.987902,8/12/2005,10166502.0,-87.2918725,John Dahl
Comedy,6957,26000000,The 40 Year Old Virgin,11.519662,8/11/2005,109449237.0,320.9586038461539,Judd Apatow
Romance,6957,26000000,The 40 Year Old Virgin,11.519662,8/11/2005,109449237.0,320.9586038461539,Judd Apatow
Horror,11460,26000000,Red Eye,6.336927,8/4/2005,57891803.0,122.66078076923077,Wes Craven
Thriller,11460,26000000,Red Eye,6.336927,8/4/2005,57891803.0,122.66078076923077,Wes Craven
Comedy,19404,13200000,Dilwale Dulhania Le Jayenge,34.457024,10/20/1995,100000000.0,657.5757575757576,Aditya Chopra
Drama,19404,13200000,Dilwale Dulhania Le Jayenge,34.457024,10/20/1995,100000000.0,657.5757575757576,Aditya Chopra
Romance,19404,13200000,Dilwale Dulhania Le Jayenge,34.457024,10/20/1995,100000000.0,657.5757575757576,Aditya Chopra
Animation,14175,35000000,Valiant,11.836827,3/25/2005,19478106.0,-44.34826857142858,Gary Chapman
Family,14175,35000000,Valiant,11.836827,3/25/2005,19478106.0,-44.34826857142858,Gary Chapman
Adventure,14175,35000000,Valiant,11.836827,3/25/2005,19478106.0,-44.34826857142858,Gary Chapman
Adventure,4442,88000000,The Brothers Grimm,15.66148,8/26/2005,105316267.0,19.677576136363637,Terry Gilliam
Fantasy,4442,88000000,The Brothers Grimm,15.66148,8/26/2005,105316267.0,19.677576136363637,Terry Gilliam
Action,4442,88000000,The Brothers Grimm,15.66148,8/26/2005,105316267.0,19.677576136363637,Terry Gilliam
Comedy,4442,88000000,The Brothers Grimm,15.66148,8/26/2005,105316267.0,19.677576136363637,Terry Gilliam
Thriller,4442,88000000,The Brothers Grimm,15.66148,8/26/2005,105316267.0,19.677576136363637,Terry Gilliam
Action,9042,30000000,The Cave,8.077253,8/25/2005,15007991.0,-49.97336333333333,Bruce Hunt
Adventure,9042,30000000,The Cave,8.077253,8/25/2005,15007991.0,-49.97336333333333,Bruce Hunt
Horror,9042,30000000,The Cave,8.077253,8/25/2005,15007991.0,-49.97336333333333,Bruce Hunt
Thriller,9042,30000000,The Cave,8.077253,8/25/2005,15007991.0,-49.97336333333333,Bruce Hunt
Comedy,17926,9000000,Undiscovered,1.494688,8/26/2005,1046166.0,-88.37593333333334,Meiert Avis
Romance,17926,9000000,Undiscovered,1.494688,8/26/2005,1046166.0,-88.37593333333334,Meiert Avis
Drama,1985,25000000,The Constant Gardener,11.556484,8/31/2005,82466670.0,229.86668,Fernando Meirelles
Mystery,1985,25000000,The Constant Gardener,11.556484,8/31/2005,82466670.0,229.86668,Fernando Meirelles
Thriller,1985,25000000,The Constant Gardener,11.556484,8/31/2005,82466670.0,229.86668,Fernando Meirelles
Action,9335,32000000,Transporter 2,11.359659,8/2/2005,85167639.0,166.148871875,Louis Leterrier
Thriller,9335,32000000,Transporter 2,11.359659,8/2/2005,85167639.0,166.148871875,Louis Leterrier
Crime,9335,32000000,Transporter 2,11.359659,8/2/2005,85167639.0,166.148871875,Louis Leterrier
Comedy,9007,58000000,Just Like Heaven,8.351773,9/16/2005,102854431.0,77.33522586206897,Mark Waters
Fantasy,9007,58000000,Just Like Heaven,8.351773,9/16/2005,102854431.0,77.33522586206897,Mark Waters
Romance,9007,58000000,Just Like Heaven,8.351773,9/16/2005,102854431.0,77.33522586206897,Mark Waters
Drama,9777,20000000,Proof,7.983902,9/5/2005,7535331.0,-62.323344999999996,John Madden
Mystery,9777,20000000,Proof,7.983902,9/5/2005,7535331.0,-62.323344999999996,John Madden
Crime,1830,42000000,Lord of War,8.745216,9/16/2005,24127895.0,-42.55263095238095,Andrew Niccol
Drama,1830,42000000,Lord of War,8.745216,9/16/2005,24127895.0,-42.55263095238095,Andrew Niccol
Thriller,1830,42000000,Lord of War,8.745216,9/16/2005,24127895.0,-42.55263095238095,Andrew Niccol
Horror,10092,1000000,Cry_Wolf,9.454335,9/16/2005,10047674.0,904.7674000000001,Jeff Wadlow
Thriller,10092,1000000,Cry_Wolf,9.454335,9/16/2005,10047674.0,904.7674000000001,Jeff Wadlow
Comedy,340,7000000,Everything is Illuminated,7.738924,9/16/2005,2697930.0,-61.45814285714286,Liev Schreiber
Drama,340,7000000,Everything is Illuminated,7.738924,9/16/2005,2697930.0,-61.45814285714286,Liev Schreiber
Adventure,8814,60000000,Doom,11.953553,10/20/2005,55987321.0,-6.687798333333333,Andrzej Bartkowiak
Action,8814,60000000,Doom,11.953553,10/20/2005,55987321.0,-6.687798333333333,Andrzej Bartkowiak
Horror,8814,60000000,Doom,11.953553,10/20/2005,55987321.0,-6.687798333333333,Andrzej Bartkowiak
Action,9923,50000000,Domino,6.394143,9/22/2005,22944502.0,-54.110996,Tony Scott
Crime,9923,50000000,Domino,6.394143,9/22/2005,22944502.0,-54.110996,Tony Scott
Comedy,7553,3000000,Waiting...,5.054419,10/7/2005,18637690.0,521.2563333333334,Rob McKittrick
Action,8202,62000000,Æon Flux,12.201912,11/30/2005,52304001.0,-15.63870806451613,Karyn Kusama
Science Fiction,8202,62000000,Æon Flux,12.201912,11/30/2005,52304001.0,-15.63870806451613,Karyn Kusama
